Database,Record Type,Table Name,Table Caption
appdata,Table,afedet,AFE Details
appdata,Table,afehdr,AFE Headers
appdata,Table,afeopt,Afeopt
appdata,Table,afeowner,AFE - Allocations
appdata,Table,ami,AMI
appdata,Table,annprod,Annual Statement of Production
appdata,Table,apopt,A/P Preferences
appdata,Table,appdata_log,Appdata Log
appdata,Table,appdata_log_k,Appdata Log K
appdata,Table,appdata_log_m,Appdata Log M
appdata,Table,appmtdet,A/P Payment Details
appdata,Table,appmthdr,A/P Payments
appdata,Table,appreg01,Control File
appdata,Table,appurchd,A/P Bill Details
appdata,Table,appurchh,A/P Bill Headers
appdata,Table,appurecd,Recurring Bill Details
appdata,Table,appurech,A/P Recurring Bill Headers
appdata,Table,aropt,A/R Preferences
appdata,Table,arpmtdet,A/R Payment Details
appdata,Table,arpmthdr,A/R Payments Headers
appdata,Table,assets,Assets
appdata,Table,audlinks,Land - Auditor Links
appdata,Table,brineinjection,Brineinjection
appdata,Table,brinelog,Brine Log Entries
appdata,Table,checkbal,Checking Balances
appdata,Table,checkrec,Cash - Reconciliations
appdata,Table,checks,Check Register
appdata,Table,chkclear,Cleared Checks
appdata,Table,coa,Chart of Accounts
appdata,Table,coabal,G/L Account Balances
appdata,Table,coabald,G/L Dept Balances
appdata,Table,coabalu,G/L Unit Balances
appdata,Table,codr0021w,Colorado DR0021W
appdata,Table,codr0456,Colorado DR0456
appdata,Table,codr0461,Colorado DR0461
appdata,Table,csdisdet,Cash Disbursement Details
appdata,Table,csdishdr,Cash Disbursement Headers
appdata,Table,csrctdet,Cash Receipts Details
appdata,Table,csrcthdr,Cash Receipts Headers
appdata,Table,custs,Customers
appdata,Table,decline,Well Decline Work File
appdata,Table,deplfile,Depletion File
appdata,Table,deplset,Depletion Setup
appdata,Table,depositd,Deposit Details
appdata,Table,deposits,Deposits
appdata,Table,disbhist,Owner History File
appdata,Table,disposal,Brine - Disposal Permits
appdata,Table,documents,Documents
appdata,Table,doichanges,Doichanges
appdata,Table,doidecks,Doidecks
appdata,Table,emaillog,Emaillog
appdata,Table,emps,Employees
appdata,Table,expcat,Expense Codes
appdata,Table,expense,Well Expense Details
appdata,Table,expsusp,Unallocated Well Expenses
appdata,Table,exptxnid,Exptxnid
appdata,Table,fields,Well Fields
appdata,Table,finchgs,Finance Charge Codes
appdata,Table,form1065,1065/K1 - Form 1065 File
appdata,Table,form1065b2,Form1065b2
appdata,Table,form6,Form 6 Records
appdata,Table,form6s,State Compliance Owner File
appdata,Table,formations,Land - Formations
appdata,Table,gasinv,House Gas - Invoices
appdata,Table,gasopt,House Gas - Preferences
appdata,Table,gasown,House Gas - Owners
appdata,Table,gasuse,House Gas - Usage
appdata,Table,glacctyp,G/L Account Types
appdata,Table,glbatches,G/L Batches
appdata,Table,gldept,Departments
appdata,Table,gljndet,G/L Journal Details
appdata,Table,gljourn,G/L Journal
appdata,Table,glmaster,G/L Master File
appdata,Table,glopt,G/L Options
appdata,Table,glrecur,Recurring G/L Entries
appdata,Table,glredet,Recurring G/L Detail
appdata,Table,groups,Well Groups
appdata,Table,importbatch,Importbatch
appdata,Table,importdefs,Import - Definitions
appdata,Table,importexplain,Import - Explanations
appdata,Table,importmap,Import - Mapping
appdata,Table,importtypes,Import - Types
appdata,Table,income,Well Revenue Details
appdata,Table,incsusp,Unallocated Revenue
appdata,Table,inctxnid,Inctxnid
appdata,Table,integrators,Integrators
appdata,Table,invdet,Invoice Details
appdata,Table,investor,Owners Master File
appdata,Table,invhdr,Invoice Headers
appdata,Table,invrecd,Recurring Invoice Details
appdata,Table,invrech,Recurring Invoices
appdata,Table,invtrans,Inventory Transfers
appdata,Table,items,Inventory and Billing Codes
