DatabaseName,Database Record Type,Table Name,Field Name,Field Caption,Field Type,Size,Decimals,Ascending,Binary,Is Null,Relationship - Table,Relationship - Field,Index - TagType,Original Object Name,Status,,New Field Name
appdata,Field,afe_costs,ccatcode,AFE Category Code,Character,4,0,F,F,F,,,,afe_costs.ccatcode,,,
appdata,Field,afe_costs,cidafed,AFE Detail ID,Character,8,0,F,F,F,,,,afe_costs.cidafed,,,
appdata,Field,afe_costs,ccateg,Category,Character,25,0,F,F,F,,,,afe_costs.ccateg,,,
appdata,Field,afe_costs,nactcost,AFE Actual Cost,Number,12,2,F,F,F,,,,afe_costs.nactcost,,,
appdata,Field,afe_costs,nestcost,AFE Estimated Cost,Number,12,2,F,F,F,,,,afe_costs.nestcost,,,
appdata,Field,afe_costs,nvariance,AFE Varience,Number,12,2,F,F,F,,,,afe_costs.nvariance,,,
appdata,Field,afedet,cidafed,AFE Detail ID,Character,8,0,F,F,F,,,,afedet.cidafed,,,
appdata,Field,afedet,cidafeh,AFE Header ID,Character,8,0,F,F,F,,,,afedet.cidafeh,,,
appdata,Field,afedet,ccatcode,Category Code,Character,4,0,F,F,F,,,,afedet.ccatcode,,,
appdata,Field,afedet,nactcost,Actual Cost,Number,12,2,F,F,F,,,,afedet.nactcost,,,
appdata,Field,afedet,nestcost,Estimated Cost,Number,12,2,F,F,F,,,,afedet.nestcost,,,
appdata,Field,afedet,nvariance,Variance,Number,12,2,F,F,F,,,,afedet.nvariance,,,
appdata,Index,afedet,ccatcode,Category Code,Index,,,,,,,,Regular,,,,
appdata,Index,afedet,cidafeh,Header Foreign Key,Index,,,,,,,,Regular,,,,
appdata,Index,afedet,cidafed,Primary Key,Index,,,,,,,,Primary,,,,
appdata,Field,afehdr,caddedby,Added By,Character,10,0,F,F,F,,,,afehdr.caddedby,,,
appdata,Field,afehdr,dafedate,AFE Date,Date,8,0,F,F,F,,,,afehdr.dafedate,,,
appdata,Field,afehdr,cidafeh,AFE Header ID,Character,8,0,F,F,F,,,,afehdr.cidafeh,,,
appdata,Field,afehdr,cafeno,AFE Number,Character,10,0,F,F,F,,,,afehdr.cafeno,,,
appdata,Field,afehdr,cchangedby,Changed By,Character,10,0,F,F,F,,,,afehdr.cchangedby,,,
appdata,Field,afehdr,lclosed,Closed,Logical,1,0,F,F,F,,,,afehdr.lclosed,,,
appdata,Field,afehdr,dadded,Date Added,TimeStamp,8,0,F,F,F,,,,afehdr.dadded,,,
appdata,Field,afehdr,dchanged,Date Changed,TimeStamp,8,0,F,F,F,,,,afehdr.dchanged,,,
appdata,Field,afehdr,dcompdate,Date Completed,Date,8,0,F,F,F,,,,afehdr.dcompdate,,,
appdata,Field,afehdr,ddrilldate,Date Drilled,Date,8,0,F,F,F,,,,afehdr.ddrilldate,,,
appdata,Field,afehdr,nexpoption,Expense Option,Integer,4,0,F,F,F,,,,afehdr.nexpoption,,,
appdata,Field,afehdr,cprogcode,Program Code,Character,10,0,F,F,F,,,,afehdr.cprogcode,,,
