CountyNumber,CountyName
01,Barbour
02,Berkeley
03,Boone
04,Braxton
05,Brooke
06,Cabell
07,Calhoun
08,Clay
09,Doddridge
10,Fayette
11,Gilmer
12,Grant
13,Greenbrier
14,Hampshire
15,Hancock
16,Hardy
17,Harrison
18,Jackson
19,Jefferson
20,Kanawha
21,Lewis
22,Lincoln
23,Logan
24,Marion
25,Marshall
26,Mason
27,McDowell
28,Mercer
29,Mineral
30,Mingo
31,Monongalia
32,Monroe
33,Morgan
34,Nicholas
35,Ohio
36,Pendleton
37,Pleasants
38,Pocahontas
39,Preston
40,Putnam
41,Raleigh
42,Randolph
43,Ritchie
44,Roane
45,Summers
46,Taylor
47,Tucker
48,Tyler
49,Upshur
50,Wayne
51,Webster
52,Wetzel
53,Wirt
54,Wood
55,Wyoming 
